YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR,T2M,T2MDEW,T2MWET,TS,PS,WS10M,WD10M,WS50M,WD50M
2000,1,1,2.44,65.12,0.01,-3.26,-9.08,-6.17,-7.17,76.15,1.89,177.19,2.26,177
2000,1,2,2.44,60.38,0.05,-2.63,-9.31,-5.97,-7.1,76.07,1.68,205.38,2.02,208.56
2000,1,3,2.2,54.75,0.02,-2.34,-10.38,-6.36,-6.13,75.94,1.77,185.44,2.14,186.69
2000,1,4,1.83,40.19,0,-0.82,-12.45,-6.63,-6.41,75.81,1.59,174.31,1.87,174.88
2000,1,5,1.95,45.38,0,-1.78,-12,-6.89,-5.34,75.7,2.3,127.38,2.95,126.62
2000,1,6,2.62,61.31,0.01,-1.94,-8.7,-5.31,-4.53,75.67,1.97,174.56,2.51,174.06
2000,1,7,3.72,82.88,0.14,-1.17,-4.11,-2.64,-2.07,75.39,1.32,162.38,1.76,163.75
2000,1,8,2.69,78.94,1.58,-4.93,-8.45,-6.7,-6.06,75.23,2.13,184.19,2.33,184
2000,1,9,1.77,89.81,5.03,-11.18,-12.99,-12.09,-11.63,75.62,1.82,238.94,2.02,249.5
2000,1,10,1.1,61.44,0,-11.23,-17.59,-14.41,-15.24,75.4,2.41,162.44,2.9,160.81
2000,1,11,1.22,55.88,0,-9.92,-16.95,-13.43,-13.37,75.4,2.09,169.19,2.45,168.38
2000,1,12,1.59,70,0,-9.25,-14.03,-11.64,-12.77,75.22,1.84,175.44,2.13,159.75
2000,1,13,1.65,87.06,0.14,-11.31,-13.41,-12.36,-12.19,75.34,1.31,148.75,1.32,149.56
2000,1,14,1.4,90,0.1,-13.55,-15.24,-14.39,-14.06,75.5,1.23,208.69,1.23,209.38
2000,1,15,1.1,74,0.02,-13.55,-17.58,-15.56,-16.27,75.71,1.25,183.56,1.41,182.62
2000,1,16,0.92,47,0,-11.24,-19.99,-15.62,-16.31,75.7,1.98,176.44,2.24,173.81
2000,1,17,1.34,55.12,0,-9.39,-16.62,-13,-12.21,75.58,3.08,144.56,3.99,143.56
2000,1,18,2.5,77,0.59,-5.45,-9.17,-7.31,-6.49,75.36,2.7,148.94,3.71,148.62
2000,1,19,2.5,90.81,0.66,-7.42,-9.03,-8.22,-9.02,75.74,1.84,165.12,2.21,177.69
2000,1,20,1.22,46.88,0,-7.1,-16.92,-12.01,-10.49,75.43,2.49,135,3.14,132.62
2000,1,21,1.34,41.12,0,-5.35,-16.25,-10.8,-10.42,75.33,2.43,134.31,2.87,134.12
2000,1,22,2.01,51.12,0,-3.44,-11.99,-7.71,-6.3,75.37,2.19,164.5,2.65,163.5
2000,1,23,2.5,69.75,0,-3.93,-8.99,-6.46,-6.11,75.62,1.71,133.06,2.08,133.25
2000,1,24,2.32,69.81,0,-4.7,-10.06,-7.38,-6.09,75.74,1.77,166.69,2.03,164.56
2000,1,25,2.14,82.44,0.48,-7.74,-10.89,-9.31,-7.99,75.93,1.38,168.81,1.51,168.88
2000,1,26,1.95,78,0.16,-8.17,-11.83,-10,-9.3,75.88,1.48,139.62,1.69,135.31
2000,1,27,1.04,45.19,0,-8.42,-18.47,-13.45,-12.37,75.83,2.52,192.19,2.94,192.38
2000,1,28,1.34,44.5,0,-6.29,-16.22,-11.25,-10.02,76.09,2.47,179.12,2.93,177.31
2000,1,29,2.08,54.62,0,-3.48,-11.31,-7.39,-6.56,76.06,2.48,133.25,3.15,131.31
2000,1,30,2.69,67.38,0.19,-2.56,-8.18,-5.37,-4.05,75.6,2.88,133.69,3.57,132.31
2000,1,31,2.62,91.44,3.44,-6.71,-8.37,-7.54,-6.55,75.69,1.73,216.12,1.88,229.31
2000,2,1,1.95,78.25,1.67,-8.1,-11.67,-9.88,-9.07,75.46,1.41,159.12,1.62,154.56
2000,2,2,1.28,54.12,0,-8.33,-16.27,-12.31,-11.48,75.21,2.52,169.56,2.98,167.69
2000,2,3,1.65,60.19,0.06,-7.13,-13.81,-10.47,-7.99,75.52,2.27,176.31,2.56,175.94
2000,2,4,2.01,75.12,0.12,-7,-11.22,-9.11,-7.92,75.84,1.57,165.62,1.78,165.12
2000,2,5,1.34,49.88,0,-6.67,-15.81,-11.24,-9.68,75.53,2.52,164.81,2.98,161.81
2000,2,6,1.4,47.56,0,-5.95,-15.59,-10.77,-8.4,75.47,2.94,161.12,3.6,158.81
2000,2,7,1.53,44.38,0,-4.06,-14.75,-9.4,-6.1,75.28,2.47,159.5,3.07,156.69
2000,2,8,1.83,51.12,0,-3.95,-12.65,-8.3,-5.81,75.07,2.41,164.88,2.95,162.44
2000,2,9,1.83,72.31,1.32,-7.98,-12.49,-10.24,-8.38,75.2,2.52,254.69,2.69,253.5
2000,2,10,1.59,81.88,1.72,-11.22,-14.1,-12.66,-10.16,75.61,1.57,189.81,1.5,189.25
2000,2,11,1.4,77.31,0,-11.46,-15.13,-13.3,-11.61,75.85,1.51,243.38,1.57,241.31
2000,2,12,1.04,53.44,0,-10.26,-18.24,-14.25,-12.45,75.8,2.09,183.25,2.3,179.69
2000,2,13,1.04,43.5,0,-8.21,-18.17,-13.19,-10.98,75.83,2.56,169.81,2.88,167.69
2000,2,14,1.53,44.94,0,-4.32,-14.56,-9.44,-6.83,75.57,2.62,158.88,3.09,157.06
2000,2,15,2.38,66.19,0.52,-3.63,-9.6,-6.62,-3.91,75.29,2.71,238.88,2.88,239.62
2000,2,16,2.01,83.5,1.35,-8.5,-11.23,-9.86,-7.49,75.72,1.78,262.75,1.8,261.12
2000,2,17,1.83,69.81,0,-7.42,-12.4,-9.91,-7.79,75.48,1.8,230.88,1.81,231.62
2000,2,18,1.77,68.25,0,-7.46,-12.7,-10.09,-7.82,75.48,1.55,188.94,1.64,180.94
2000,2,19,1.46,63.69,0.01,-8.73,-14.81,-11.77,-9.1,75.55,2.54,228.69,2.89,226.12
2000,2,20,1.65,78.75,0.23,-10.02,-13.42,-11.72,-9.31,75.44,4.77,282.94,5.73,281
2000,2,21,1.22,64.19,0,-10.72,-16.81,-13.76,-11.31,75.57,3.27,248.38,3.79,246.44
2000,2,22,0.92,36.94,0,-7.41,-19.67,-13.53,-10.25,75.75,2.38,196.88,2.66,196.38
2000,2,23,1.22,43.5,0,-6.52,-16.99,-11.75,-8.21,75.9,2.78,185.94,3.09,184.44
2000,2,24,1.46,51.12,0,-6.12,-14.9,-10.51,-6.91,76.05,2.79,178.75,3.23,176.88
2000,2,25,1.53,46.75,0,-4.6,-14.5,-9.55,-6.33,76.05,2.3,199.69,2.54,198.75
2000,2,26,1.46,43.69,0,-3.91,-15.1,-9.5,-4.95,75.34,2.54,169.5,2.97,166.5
2000,2,27,2.38,78.56,0.07,-6.06,-9.68,-7.87,-5.56,75.47,1.61,197.88,1.91,194.88
2000,2,28,1.77,57.81,0.05,-4.15,-12.95,-8.55,-4.01,75.65,2.53,168.94,2.87,167
2000,2,29,2.44,87.62,0.85,-7.07,-9.3,-8.19,-5.71,75.97,2.66,292.31,2.89,289.5
2000,3,1,1.83,70.88,0.17,-7.58,-12.53,-10.06,-6.24,76.01,1.75,205.44,1.86,204.75
2000,3,2,1.53,50.31,0,-5.68,-14.55,-10.12,-5.31,75.52,2.33,182.44,2.69,181.81
2000,3,3,1.71,50,0,-3.88,-13.67,-8.77,-3.25,75.2,2.98,160.31,3.46,158.06
2000,3,4,2.26,69.12,0.24,-5.13,-10.34,-7.74,-3.6,75.29,2.59,227.88,2.55,230.75
2000,3,5,2.01,69.69,2.95,-6.24,-11.52,-8.88,-5.24,75.39,1.84,210.75,2.02,205.88
2000,3,6,1.95,59.88,0,-5.12,-11.98,-8.55,-5.17,75.36,2.62,151.56,3.09,152.06
2000,3,7,2.26,66.81,0,-4.38,-9.88,-7.13,-3.96,75.63,1.82,202.69,1.98,199.75
2000,3,8,2.01,55.25,0,-3.2,-11.59,-7.4,-3.34,75.88,2.52,194.12,2.91,192.5
2000,3,9,2.2,48.19,0,-0.39,-10.39,-5.39,-0.58,75.65,2.37,190.19,2.76,189
2000,3,10,2.2,47.75,0,-0.45,-10.74,-5.6,-0.52,75.15,2.83,201.12,3.53,199.75
2000,3,11,2.99,70.62,0.04,-1.92,-6.84,-4.38,-0.39,75.35,2.09,177.06,2.06,176.25
2000,3,12,2.26,59,0,-2.67,-10.17,-6.42,-1.81,75.47,2.47,185.62,2.75,183.12
2000,3,13,2.2,50.25,0,-1.17,-10.45,-5.81,-0.7,75.46,1.98,190.56,2.2,189.25
2000,3,14,2.01,40,0,1.37,-11.42,-5.02,1.01,75.46,2.32,189.31,2.71,187.06
2000,3,15,2.38,46.06,0.04,1.15,-9.43,-4.13,0.82,75.43,2.55,169.06,2.95,167.69
2000,3,16,2.26,69.25,2.07,-4.99,-10.07,-7.52,-3.47,75.3,3.13,263.25,3.09,263.25
2000,3,17,1.46,58.94,0,-7.77,-14.81,-11.29,-5.48,75.69,2.62,181.56,2.64,178.25
2000,3,18,1.46,48.62,0,-5.63,-14.88,-10.26,-4.88,75.6,2.53,212.25,2.65,211.12
2000,3,19,1.71,55.88,0,-5.32,-13.15,-9.24,-4.29,75.66,3.12,282.94,3.64,275.75
2000,3,20,1.46,49.19,0,-5.32,-14.74,-10.02,-4.98,75.77,2.94,274.94,3.45,273.19
2000,3,21,1.22,35.5,0,-2.31,-16.63,-9.46,-2.74,76.01,2.2,188,2.59,184.88
2000,3,22,1.16,27.81,0,-0.48,-17.24,-8.86,-0.59,76.01,4.19,116.88,5.45,118.75
2000,3,23,1.4,29.38,0,0.78,-15.45,-7.33,0.8,75.94,2.78,179.88,3.48,177.12
2000,3,24,2.08,34,0,4.01,-11.19,-3.59,3.14,76.19,2.7,199.19,3.23,197.56
2000,3,25,2.93,35.88,0,7.9,-7.17,0.37,7.21,76.15,2.52,177.56,3.26,174.06
2000,3,26,4.27,49.69,0.03,7.69,-2.66,2.52,6.08,76.03,1.95,186.88,2.45,184.44
2000,3,27,4.64,87,8.62,0.85,-1.23,-0.19,1.19,76.21,2.15,227.25,2.32,212.44
2000,3,28,4.33,77,0.57,2.07,-1.94,0.07,2.57,76.09,2.11,159.5,2.29,159.25
2000,3,29,4.7,84.38,0.13,1.74,-0.85,0.44,2.11,75.87,1.99,174.88,2.23,160.31
2000,3,30,4.52,83.19,1.4,1.23,-1.56,-0.17,1.89,75.85,1.77,183.56,1.93,181.5
2000,3,31,3.17,59.31,0.01,1.87,-6.19,-2.16,2.38,75.98,2.42,206.62,2.62,189.75
2000,4,1,2.56,42.62,0,2.91,-8.66,-2.87,2.92,76.1,2.35,208.69,2.57,206.5
2000,4,2,2.62,41,0,4.67,-8.24,-1.79,4.74,76.06,2.52,209.69,2.79,208.12
2000,4,3,3.36,61.81,0.73,1.74,-5.44,-1.85,2.73,75.9,2.6,240.38,2.61,239.81
2000,4,4,3.42,77.38,2.83,-1.27,-4.97,-3.13,-0.2,76.11,1.94,265.88,1.95,270.75
2000,4,5,2.81,60,2.1,0.05,-7.56,-3.76,1.17,75.96,2.02,184.5,2.13,181.75
2000,4,6,2.26,43.44,0,2.58,-9.98,-3.7,2.87,75.77,2.83,200.44,3.25,198.25
2000,4,7,2.5,36.94,0,5.04,-8.87,-1.92,4.94,75.86,2.45,218.44,2.74,216.25
2000,4,8,2.75,41.25,0,5.09,-7.6,-1.26,5.05,76.19,2.8,214.88,3.15,214
2000,4,9,2.69,35.94,0,7.06,-8.09,-0.51,6.37,76.21,2.84,210.12,3.22,210.12
2000,4,10,3.42,40.44,0,8.23,-5.06,1.58,7.72,76.18,2.96,218.12,3.34,217.31
2000,4,11,4.15,42.75,0,10.45,-2.74,3.86,9.98,76.09,3.27,233.5,3.87,234.25
2000,4,12,4.21,40.62,0,11.78,-2.67,4.55,11.66,75.93,2.97,225.06,3.35,224.38
2000,4,13,4.94,59.38,0.82,7.97,-0.67,3.65,8.26,75.65,2.31,220.75,2.62,218.38
2000,4,14,4.15,64,0.3,3.87,-2.73,0.57,4.56,75.88,1.38,137.81,1.77,125.5
2000,4,15,4.03,62,0.53,4.23,-3.08,0.57,5.48,76,2.55,222.69,2.83,221.31
2000,4,16,4.09,56.44,0.2,6.26,-2.89,1.69,7.11,76.05,2.66,225.38,2.96,225.38
2000,4,17,5.19,68.56,2.95,5.99,0.3,3.15,7.08,75.99,2.8,199.06,3.2,208.44
2000,4,18,5.25,67.44,8.31,6.83,0.68,3.76,7.05,76.17,2,191.75,2.26,201.94
2000,4,19,4.76,57.5,0,7.85,-0.73,3.56,7.49,76.15,2.4,197.31,2.71,195.94
2000,4,20,5.19,60.94,0.15,7.79,0.3,4.04,8.08,76.05,1.66,228.5,1.88,218.56
2000,4,21,5.25,64.62,1.24,7.31,0.59,3.95,7.95,75.92,2.93,208.12,3.39,205.94
2000,4,22,4.52,51.62,0.02,8.92,-1.58,3.67,8.99,75.76,3.12,225.38,3.53,225.44
2000,4,23,5,58.31,0.27,8.16,-0.15,4.01,8.2,75.76,2.73,227.56,3.58,227.19
2000,4,24,5.37,66.44,0.4,7.57,0.83,4.2,8.83,75.78,3.09,208.12,3.92,208.25
2000,4,25,5.07,69.44,0.83,5.94,0.12,3.03,7.69,75.86,1.94,186.88,2.49,186.25
2000,4,26,5.07,70.62,4.9,5.51,0.08,2.8,6.55,75.87,2.05,242.69,2.48,242.56
2000,4,27,4.94,72.44,18.95,4.6,-0.37,2.12,4.83,76.01,2.01,222,2.41,221.06
2000,4,28,4.58,70.44,2.03,3.92,-1.38,1.27,3.76,75.9,1.45,201.38,1.73,198.75
2000,4,29,4.82,79.25,0.76,2.82,-0.68,1.07,3.55,75.91,1.69,208.31,2.05,205.12
2000,4,30,4.21,61.56,0.49,5.58,-2.34,1.62,6.51,76.05,3.16,203.06,3.77,201.38
2000,5,1,3.66,41.06,0.03,9.99,-4.23,2.88,9.58,75.96,2.52,219.94,3.13,217.25
2000,5,2,5.68,58.75,0.48,9.5,1.49,5.5,9.15,76.11,1.84,167.81,2.26,169.31
2000,5,3,6.53,70.44,0.92,9.24,3.58,6.41,9.9,76.15,2.38,200.75,3.09,198
2000,5,4,6.1,70.31,0.69,8.4,2.73,5.56,9.02,76.2,2.12,206.25,2.5,204.75
2000,5,5,5.8,65.56,0.21,9.05,1.98,5.51,9.71,76.49,3.65,228.38,4.4,228.19
2000,5,6,5.43,65.56,0.24,8.02,1.15,4.58,9.11,76.54,3.08,227.5,3.52,225.94
